Date,Start (ET),Visitor,Home,Notes
Fri Nov 18 2016,9:00p,Toronto Raptors,Denver Nuggets,0.6968103250038887
Fri Nov 18 2016,10:30p,San Antonio Spurs,Los Angeles Lakers,0.9698421548319079
Fri Nov 18 2016,10:30p,Los Angeles Clippers,Sacramento Kings,0.6563380382132005
Sat Nov 19 2016,5:00p,Houston Rockets,Utah Jazz,0.5340907497324138
Sat Nov 19 2016,7:00p,Detroit Pistons,Boston Celtics,0.5377708346863457
Sat Nov 19 2016,7:00p,Charlotte Hornets,New Orleans Pelicans,0.7298544898986927
Sat Nov 19 2016,7:00p,Dallas Mavericks,Orlando Magic,0.5379321697037844
Sat Nov 19 2016,7:00p,Miami Heat,Washington Wizards,0.522920568436883
Sat Nov 19 2016,7:30p,Phoenix Suns,Philadelphia 76ers,0.6003128922828598
Sat Nov 19 2016,8:00p,Memphis Grizzlies,Minnesota Timberwolves,0.7169332366317206
Sat Nov 19 2016,8:30p,Golden State Warriors,Milwaukee Bucks,0.9221356712442615
Sat Nov 19 2016,10:30p,Los Angeles Clippers,Chicago Bulls,0.8287992132843801
Sun Nov 20 2016,12:00p,Atlanta Hawks,New York Knicks,0.6944852159046038
Sun Nov 20 2016,3:30p,Portland Trail Blazers,Brooklyn Nets,0.7713647583242671
Sun Nov 20 2016,7:00p,Oklahoma City Thunder,Indiana Pacers,0.6933652777855028
